25,"(0.014423076923076872, 0.022235576923076872, -0.0012019230769231282)",2004-01-08 10:00:00,2004-01-09 14:30:00
50,"(0.014423076923076872, 0.022235576923076872, -0.0012019230769231282)",2004-01-08 10:00:00,2004-01-13 11:15:00
75,"(0.010216346153846256, 0.022235576923076872, -0.0012019230769231282)",2004-01-08 10:00:00,2004-01-15 09:45:00
100,"(0.009014423076923128, 0.022235576923076872, -0.0012019230769231282)",2004-01-08 10:00:00,2004-01-16 14:30:00
150,"(0.02043269230769229, 0.030649038461538547, -0.0012019230769231282)",2004-01-08 10:00:00,2004-02-03 09:45:00
25,"(0.030742459396751798, 0.033062645011600944, -0.0034802784222738303)",2004-02-05 09:30:00,2004-02-06 14:00:00
50,"(0.06032482598607891, 0.06438515081206497, -0.0034802784222738303)",2004-02-05 09:30:00,2004-02-10 10:45:00
75,"(0.06090487238979114, 0.06438515081206497, -0.0034802784222738303)",2004-02-05 09:30:00,2004-02-12 09:15:00
100,"(0.05220417633410679, 0.07308584686774933, -0.0034802784222738303)",2004-02-05 09:30:00,2004-02-13 14:00:00
150,"(0.06380510440835274, 0.09338747099767986, -0.0034802784222738303)",2004-02-05 09:30:00,2004-02-19 09:15:00
25,"(0.03473804100227795, 0.04100227790432798, -0.006833712984054663)",2004-02-05 14:30:00,2004-02-09 11:00:00
50,"(0.01765375854214124, 0.04498861047835989, -0.006833712984054663)",2004-02-05 14:30:00,2004-02-11 09:30:00
75,"(0.044419134396355364, 0.04498861047835989, -0.006833712984054663)",2004-02-05 14:30:00,2004-02-12 14:15:00
100,"(0.03075170842824604, 0.05353075170842825, -0.006833712984054663)",2004-02-05 14:30:00,2004-02-16 11:00:00
150,"(0.05068337129840539, 0.0734624145785876, -0.006833712984054663)",2004-02-05 14:30:00,2004-02-19 14:15:00
25,"(0.03446327683615813, 0.03672316384180796, -0.00790960451977396)",2004-02-06 11:00:00,2004-02-10 09:15:00
50,"(0.00621468926553681, 0.03672316384180796, -0.00790960451977396)",2004-02-06 11:00:00,2004-02-11 14:00:00
75,"(0.02824858757062154, 0.04519774011299438, -0.00790960451977396)",2004-02-06 11:00:00,2004-02-13 10:45:00
100,"(0.031073446327683607, 0.04519774011299438, -0.00790960451977396)",2004-02-06 11:00:00,2004-02-17 09:15:00
150,"(0.058192090395480234, 0.06497175141242928, -0.00790960451977396)",2004-02-06 11:00:00,2004-02-20 10:45:00
25,"(0.012195121951219523, 0.02716186252771613, -0.0022172949002217113)",2004-03-11 09:45:00,2004-03-12 14:15:00
50,"(0.003325942350332678, 0.02716186252771613, -0.0022172949002217113)",2004-03-11 09:45:00,2004-03-17 11:00:00
75,"(-0.0022172949002217113, 0.02716186252771613, -0.013303769401330379)",2004-03-11 09:45:00,2004-03-19 09:30:00
100,"(0.001662971175166339, 0.02716186252771613, -0.013303769401330379)",2004-03-11 09:45:00,2004-03-22 14:15:00
150,"(0.033813747228381485, 0.03880266075388028, -0.013858093126385862)",2004-03-11 09:45:00,2004-04-02 09:30:00
25,"(0.035991140642303465, 0.037652270210409844, -0.011074197120708784)",2004-03-25 10:15:00,2004-04-02 14:45:00
50,"(0.021594684385382035, 0.04928017718715383, -0.011074197120708784)",2004-03-25 10:15:00,2004-04-06 11:30:00
75,"(0.033776301218161775, 0.04928017718715383, -0.011074197120708784)",2004-03-25 10:15:00,2004-04-08 10:00:00
100,"(0.039867109634551534, 0.04983388704318936, -0.011074197120708784)",2004-03-25 10:15:00,2004-04-09 14:45:00
150,"(0.06312292358803995, 0.06810631229235886, -0.011074197120708784)",2004-03-25 10:15:00,2004-04-15 10:00:00
25,"(-0.05649717514124297, 0.011299435028248483, -0.05875706214689269)",2004-04-28 14:00:00,2004-04-30 10:15:00
50,"(-0.051977401129943535, 0.011299435028248483, -0.06497175141242939)",2004-04-28 14:00:00,2004-05-10 15:00:00
75,"(-0.0909604519774011, 0.011299435028248483, -0.096045197740113)",2004-04-28 14:00:00,2004-05-12 13:45:00
100,"(-0.10056497175141244, 0.011299435028248483, -0.10734463276836159)",2004-04-28 14:00:00,2004-05-14 10:15:00
150,"(-0.12316384180790962, 0.011299435028248483, -0.14180790960451972)",2004-04-28 14:00:00,2004-05-19 13:45:00
25,"(0.001312335958005173, 0.0032808398950130435, -0.015091863517060378)",2004-08-03 10:15:00,2004-08-04 14:45:00
50,"(0.003937007874015741, 0.017060367454068137, -0.015091863517060378)",2004-08-03 10:15:00,2004-08-06 11:30:00
75,"(0.017060367454068137, 0.026246719160105014, -0.015091863517060378)",2004-08-03 10:15:00,2004-08-10 10:00:00
100,"(0.017716535433070835, 0.027559055118110187, -0.015091863517060378)",2004-08-03 10:15:00,2004-08-11 14:45:00
150,"(0.036745406824147064, 0.03805774278215224, -0.015091863517060378)",2004-08-03 10:15:00,2004-08-17 10:00:00
